English,Polish,German
Hello,Cześć,Hallo
Goodbye,Do widzenia,Auf Wiedersehen
Please,Proszę,Bitte
Thank you,Dziękuję,Danke
Yes,Tak,Ja
No,Nie,Nein
Excuse me,Przepraszam,Entschuldigung
Sorry,Przykro mi,Es tut mir leid
Good morning,Dzień dobry,Guten Morgen
Good night,Dobranoc,Gute Nacht
How are you?,Jak się masz?,Wie geht es dir?
Fine,Dobrze,Gut
What?,Co?,Was?
Why?,Dlaczego?,Warum?
Where?,Gdzie?,Wo?
Who?,Kto?,Wer?
When?,Kiedy?,Wann?
Which?,Który?,Welcher
This,To,Dieses
That,Tamto,Jenes
Family,Rodzina,Familie
Mother,Matka,Mutter
Father,Ojciec,Vater
Sister,Siostra,Schwester
Brother,Brat,Bruder
Son,Syn,Sohn
Daughter,Córka,Tochter
Husband,Mąż,Ehemann
Wife,Żona,Ehefrau
Child,Dziecko,Kind
Dog,Pies,Hund
Cat,Kot,Katze
Bird,Ptak,Vogel
Fish,Ryba,Fisch
Horse,Koń,Pferd
Cow,Krowa,Kuh
Pig,Świnia,Schwein
Sheep,Owca,Schaf
Goat,Koza,Ziege
Rabbit,Królik,Kaninchen
Food,Jedzenie,Essen
Water,Woda,Wasser
Bread,Chleb,Brot
Milk,Mleko,Milch
Coffee,Kawa,Kaffee
Tea,Herbata,Tee
Juice,Sok,Saft
Wine,Wino,Wein
Beer,Piwo,Bier
Fruit,Owoc,Frucht
Apple,Jabłko,Apfel
Banana,Banan,Banane
Orange,Pomarańcza,Orange
Grape,Winogrono,Traube
Strawberry,Truskawka,Erdbeere
Vegetable,Warzywo,Gemüse
Carrot,Marchew,Karotte
Potato,Ziemniak,Kartoffel
Tomato,Pomidor,Tomate
Onion,Cebula,Zwiebel
Clothes,Ubrania,Kleidung
Shirt,Koszula,Hemd
Pants,Spodnie,Hose
Dress,Sukienka,Kleid
Skirt,Spódnica,Rock
Shoes,Buty,Schuhe
Socks,Skarpety,Socken
Hat,Kapelusz,Hut
Coat,Płaszcz,Mantel
Gloves,Rękawiczki,Handschuhe
Head,Głowa,Kopf
Hair,Włosy,Haare
Eye,Oko,Auge
Ear,Ucho,Ohr
Nose,Nos,Nase
Mouth,Usta,Mund
Hand,Ręka,Hand
Arm,Ramię,Arm
Leg,Noga,Bein
Foot,Stopa,Fuß
Red,Czerwony,Rot
Blue,Niebieski,Blau
Green,Zielony,Grün
Yellow,Żółty,Gelb
Black,Czarny,Schwarz
White,Biały,Weiß
Orange,Pomarańczowy,Orange
Purple,Fioletowy,Violett
Pink,Różowy,Rosa
Brown,Brązowy,Braun
Tree,Drzewo,Baum
Flower,Kwiat,Blume
Grass,Trawa,Gras
Mountain,Góra,Berg
River,Rzeka,Fluss
Lake,Jezioro,See
Sea,Morze,Meer
Sun,Słońce,Sonne
Moon,Księżyc,Mond
Star,Gwiazda,Stern
Street,Ulica,Straße
Road,Droga,Weg
City,Miasto,Stadt
Country,Kraj,Land
House,Dom,Haus
Apartment,Mieszkanie,Wohnung
Hotel,Hotel,Hotel
Store,Sklep,Geschäft
Bank,Bank,Bank
Restaurant,Restauracja,Restaurant
To be,Być,Sein
To have,Mieć,Haben
To go,Iść,Gehen
To come,Przyjść,Kommen
To see,Widzieć,Sehen
To eat,Jeść,Essen
To drink,Pić,Trinken
To speak,Mówić,Sprechen
To read,Czytać,Lesen
To write,Pisać,Schreiben
Good,Dobry,Gut
Bad,Zły,Schlecht
New,Nowy,Neu
Old,Stary,Alt
Hot,Gorący,Heiß
Cold,Zimny,Kalt
Happy,Szczęśliwy,Glücklich
Sad,Smutny,Traurig
Easy,Łatwy,Einfach
Difficult,Trudny,Schwierig
Fast,Szybki,Schnell
Slow,Wolny,Langsam
Big,Duży,Groß
Small,Mały,Klein
Long,Długi,Lang
Short,Krótki,Kurz
Heavy,Ciężki,Schwer
Light,Lekki,Leicht
Beautiful,Piękny,Schön
Ugly,Brzydki,Hässlich
Today,Dzisiaj,Heute
Tomorrow,Jutro,Morgen
Yesterday,Wczoraj,Gestern
Week,Tydzień,Woche
Month,Miesiąc,Monat
Year,Rok,Jahr
Dawn,Świt,Morgendämmerung
Table,Stół,Tisch
Chair,Krzesło,Stuhl
Bed,Łóżko,Bett
Door,Drzwi,Tür
Window,Okno,Fenster
Cup,Filiżanka,Tasse
Plate,Talerz,Teller
Knife,Nóż,Messer
Fork,Widelec,Gabel
Spoon,Łyżka,Löffel
Computer,Komputer,Computer
Phone,Telefon,Telefon
Keyboard,Klawiatura,Tastatur
Mouse,Mysz,Maus
Screen,Ekran,Bildschirm
Internet,Internet,Internet
Email,E-mail,E-Mail
Software,Oprogramowanie,Software
Hardware,Sprzęt,Hardware
Printer,Drukarka,Drucker
Car,Samochód,Auto
Bus,Autobus,Bus
Train,Pociąg,Zug
Bicycle,Rower,Fahrrad
Motorcycle,Motocykl,Motorrad
Airplane,Samolot,Flugzeug
Ship,Statek,Schiff
Taxi,Taksówka,Taxi
Truck,Ciężarówka,Lastwagen
Subway,Metro,U-Bahn
One,Jeden,Eins
Two,Dwa,Zwei
Three,Trzy,Drei
Four,Cztery,Vier
Five,Pięć,Fünf
Six,Sześć,Sechs
Seven,Siedem,Sieben
Eight,Osiem,Acht
Nine,Dziewięć,Neun
Ten,Dziesięć,Zehn
Weather,Pogoda,Wetter
Rain,Deszcz,Regen
Snow,Śnieg,Schnee
Wind,Wiatr,Wind
Storm,Burza,Sturm
Cloud,Chmura,Wolke
Fog,Mgła,Nebel
Thunder,Grzmot,Donner
Lightning,Błyskawica,Blitz
Sunshine,Słoneczko,Sonnenschein
Anger,Złość,Wut
Fear,Strach,Angst
Surprise,Niespodzianka,Überraschung
Disgust,Wstręt,Ekel
Joy,Radość,Freude
Trust,Zaufanie,Vertrauen
Anticipation,Oczekiwanie,Erwartung
Sadness,Smutek,Traurigkeit
Excitement,Podekscytowanie,Aufregung
Calm,Spokój,Ruhe
Earth,Ziemia,Erde
Air,Powietrze,Luft
Fire,Ogień,Feuer
Ice,Lód,Eis
To run,Biegać,Laufen
To jump,Skakać,Springen
To sleep,Spać,Schlafen
To wake,Budzić się,Aufwachen
To sit,Siedzieć,Sitzen
To stand,Stać,Stehen
Clean,Czysty,Sauber
Dirty,Brudny,Schmutzig
Rich,Bogaty,Reich
Poor,Biedny,Arm
Smart,Mądry,Klug
Stupid,Głupi,Dumm
Brave,Odważny,Mutig
Shy,Nieśmiały,Schüchtern
Strong,Silny,Stark
Weak,Słaby,Schwach
Quickly,Szybko,Schnell
Slowly,Powoli,Langsam
Always,Zawsze,Immer
Never,Nigdy,Nie
Sometimes,Czasami,Manchmal
Often,Często,Oft
Rarely,Rzadko,Selten
Now,Teraz,Jetzt
Later,Później,Später
Before,Przed,Vor
Minute,Minuta,Minute
Second,Sekunda,Sekunde
Hour,Godzina,Stunde
Century,Wiek,Jahrhundert
Decade,Dekada,Jahrzehnt
Era,Era,Epoche
Moment,Moment,Moment
Future,Przyszłość,Zukunft
Past,Przeszłość,Vergangenheit
Present,Teraźniejszość,Gegenwart
To laugh,Śmiać się,Lachen
To cry,Płakać,Weinen
To smile,Uśmiechać się,Lächeln
To think,Myśleć,Denken
To understand,Rozumieć,Verstehen
To remember,Pamiętać,Erinnern
To forget,Zapominać,Vergessen
To love,Kochać,Lieben
To hate,Nienawidzić,Hassen
To help,Pomagać,Helfen
Office,Biuro,Büro
Meeting,Spotkanie,Treffen
Project,Projekt,Projekt
Report,Raport,Bericht
Research,Badanie,Forschung
Idea,Pomysł,Idee
Problem,Problem,Problem
Solution,Rozwiązanie,Lösung
Question,Pytanie,Frage
Answer,Odpowiedź,Antwort
Sport,Sport,Sport
Game,Gra,Spiel
Music,Muzyka,Musik
Movie,Film,Film
Dance,Taniec,Tanz
Art,Sztuka,Kunst
Theater,Teatr,Theater
Song,Piosenka,Lied
Guitar,Gitara,Gitarre
Piano,Fortepian,Klavier
Pen,Długopis,Stift
Pencil,Ołówek,Bleistift
Paper,Papier,Papier
Bookcase,Regał,Bücherregal
Notebook,Notatnik,Notizbuch
Bag,Torba,Tasche
Clock,Zegar,Uhr
Map,Mapa,Karte
Key,Klucz,Schlüssel
Doorbell,Dzwonek,Türklingel
Forest,Las,Wald
Desert,Pustynia,Wüste
Beach,Plaża,Strand
Island,Wyspa,Insel
Valley,Dolina,Tal
Hill,Wzgórze,Hügel
Waterfall,Wodospad,Wasserfall
Cave,Jaskinia,Höhle
Volcano,Wulkan,Vulkan
Earthquake,Trzęsienie ziemi,Erdbeben
Rainforest,Las deszczowy,Regenwald
Glacier,Lodowiec,Gletscher
Meadow,Łąka,Wiese
